,cluster,min_sag,max_sag,min_axe,max_axe,min_cor,max_cor,num_vox,vol,action
0,-1.0,113.0,158.0,31.0,38.0,98.0,135.0,6,brainmask,delete voxel
1,0.0,150.0,167.0,127.0,131.0,42.0,45.0,42,brainmask,delete voxel
2,1.0,134.0,143.0,118.0,127.0,42.0,44.0,32,brainmask,delete voxel
3,2.0,174.0,181.0,95.0,104.0,47.0,51.0,33,brainmask,delete voxel
4,3.0,155.0,162.0,50.0,54.0,53.0,55.0,35,brainmask,delete voxel
5,4.0,134.0,138.0,31.0,35.0,84.0,86.0,24,brainmask,delete voxel
6,5.0,145.0,146.0,31.0,33.0,84.0,84.0,5,brainmask,delete voxel
7,6.0,126.0,141.0,27.0,36.0,94.0,107.0,211,brainmask,delete voxel
8,7.0,118.0,123.0,30.0,32.0,120.0,121.0,19,brainmask,delete voxel
9,8.0,132.0,134.0,31.0,33.0,120.0,121.0,5,brainmask,delete voxel
10,9.0,151.0,155.0,149.0,152.0,124.0,125.0,17,brainmask,delete voxel
11,10.0,129.0,135.0,31.0,35.0,125.0,129.0,55,brainmask,delete voxel
12,11.0,168.0,171.0,44.0,46.0,134.0,135.0,8,brainmask,delete voxel
13,12.0,82.0,98.0,108.0,124.0,145.0,147.0,47,brainmask,delete voxel
14,13.0,160.0,174.0,117.0,126.0,148.0,149.0,34,brainmask,delete voxel
0,,148.0,148.0,93.0,93.0,111.0,111.0,1,cp,added cp
